biostimulant;type;effect
AMF;Mycorrhizal fungi;Decreased drought stress tolerance
BioAtlantis;Seaweed extract;Decreased drought stress tolerance
Biomega;Bacteria;Decreased drought stress tolerance
Kelpak;Seaweed extract;Decreased drought stress tolerance
Naturvital-Plus;Humic and fluvic acids;Decreased drought stress tolerance
Phylgreen;Seaweed extract;Decreased drought stress tolerance
Trianum-P;Mycorrhizal fungi;Decreased drought stress tolerance
Basfoliar Si;Anorganic elements Si, Phosphite;Decreased growth
Fitostim;Seaweed extract;Decreased growth
Instant TD + Impuls TD;Mix of different types;Decreased growth
Phylgreen;Seaweed extract;Decreased growth
Previsan S;Other;Decreased growth
Siapton;Protein hydrolysate;Decreased heat stress tolerance
Calleaf Aminovital;Protein hydrolysate;Decreased nitrogen N use efficiency
Kelpak;Seaweed extract;Decreased nitrogen N use efficiency
Maximus Amino Protect;Mix of different types;Decreased nitrogen N use efficiency
Nutricin;Mix of different types;Decreased nitrogen N use efficiency
TNC BactorrS13;Mix of different types;Decreased nitrogen N use efficiency
Trianum-P;Mycorrhizal fungi;Decreased nitrogen N use efficiency
True Algae Max (TAM);Seaweed extract;Decreased nitrogen N use efficiency
Vitact R;Bacteria;Decreased nitrogen N use efficiency
Golf Algin;Mix of different types;Decreased nutrient availability in soil or substrate
Maxicrop;Seaweed extract;Decreased nutrient availability in soil or substrate
ProGreen;Mix of different types;Decreased nutrient availability in soil or substrate
AM 120;Mycorrhizal fungi;Decreased other
BaktoKompleks;Bacteria;Decreased other
Biomega;Bacteria;Decreased other
Naturvital-Plus;Humic and fluvic acids;Decreased other
Raiza-Mix;Mix of different types;Decreased other
Scudo;Other;Decreased other
Vitact R;Bacteria;Decreased other
Diehard Complete;Mix of different types;Decreased phosphorous P use efficiency
MycoApply All Purpose;Mycorrhizal fungi;Decreased phosphorous P use efficiency
Vitact R;Bacteria;Decreased phosphorous P use efficiency
Vitact R;Bacteria;Decreased potassium K use efficiency
Acadian;Seaweed extract;Decreased produce quality
Acker-Schachtelhalm extract;Plant extract;Decreased produce quality
Atonik / Chapperone / Asahi SL;Other;Decreased produce quality
Auxym;Plant extract;Decreased produce quality
Basfoliar Si;Anorganic elements Si, Phosphite;Decreased produce quality
Bio Kombi;Mix of different types;Decreased produce quality
BioAtlantis;Seaweed extract;Decreased produce quality
Biplantol Universal;Plant extract;Decreased produce quality
ComCat;Plant extract;Decreased produce quality
Crop Set;Plant extract;Decreased produce quality
ACTIV 0-0-5;Seaweed extract;Decreased salt stress tolerance
EZ-Gro Chitosan;Chitosan & biopolymers;Decreased salt stress tolerance
Fulvic Acid 0-0-3;Humic and fluvic acids;Decreased salt stress tolerance
Humic Acid 0-0-5;Humic and fluvic acids;Decreased salt stress tolerance
Nutri-Stim Triacontanol;Plant extract;Decreased salt stress tolerance
Organic BamBoo Power BBP No.11;Plant extract;Decreased salt stress tolerance
PTB180;Bacteria;Decreased salt stress tolerance
PTB185;Bacteria;Decreased salt stress tolerance
RootShield;Mycorrhizal fungi;Decreased salt stress tolerance
Wollastonite;Anorganic elements Si, Phosphite;Decreased salt stress tolerance
TNC BactorrS13;Mix of different types;Decreased water use efficiency
Atonik / Chapperone / Asahi SL;Other;Increased cold stress tolerance
FH Attivus;Mix of different types;Increased cold stress tolerance
Goëmar;Seaweed extract;Increased cold stress tolerance
Pepton;Protein hydrolysate;Increased cold stress tolerance
