Title,Biostimulant type,,filter_name
AMF,Mycorrhizal fungi,AMF,Decreased drought stress tolerance
BioAtlantis,Seaweed extract,BioAtlantis,Decreased drought stress tolerance
Biomega,Bacteria,Biomega,Decreased drought stress tolerance
Kelpak,Seaweed extract,Kelpak,Decreased drought stress tolerance
Naturvital-Plus,Humic and fluvic acids,Naturvital-Plus,Decreased drought stress tolerance
Phylgreen,Seaweed extract,Phylgreen,Decreased drought stress tolerance
Trianum-P,Mycorrhizal fungi,Trianum-P,Decreased drought stress tolerance
Basfoliar Si,"Anorganic elements Si, Phosphite",Basfoliar Si,Decreased growth
Fitostim,Seaweed extract,Fitostim,Decreased growth
Instant TD + Impuls TD,Mix of different types,Instant TD + Impuls TD,Decreased growth
Phylgreen,Seaweed extract,Phylgreen,Decreased growth
Previsan S,Other,Previsan S,Decreased growth
Siapton,Protein hydrolysate,Siapton,Decreased heat stress tolerance
Calleaf Aminovital,Protein hydrolysate,Calleaf Aminovital,Decreased nitrogen N use efficiency
Kelpak,Seaweed extract,Kelpak,Decreased nitrogen N use efficiency
Maximus Amino Protect,Mix of different types,Maximus Amino Protect,Decreased nitrogen N use efficiency
Nutricin,Mix of different types,Nutricin,Decreased nitrogen N use efficiency
TNC BactorrS13,Mix of different types,TNC BactorrS13,Decreased nitrogen N use efficiency
Trianum-P,Mycorrhizal fungi,Trianum-P,Decreased nitrogen N use efficiency
True Algae Max (TAM),Seaweed extract,True Algae Max (TAM),Decreased nitrogen N use efficiency
Vitact R,Bacteria,Vitact R,Decreased nitrogen N use efficiency
Golf Algin,Mix of different types,Golf Algin,Decreased nutrient availability in soil or substrate
Maxicrop,Seaweed extract,Maxicrop,Decreased nutrient availability in soil or substrate
ProGreen,Mix of different types,ProGreen,Decreased nutrient availability in soil or substrate
AM 120,Mycorrhizal fungi,AM 120,Decreased other
BaktoKompleks,Bacteria,BaktoKompleks,Decreased other
Biomega,Bacteria,Biomega,Decreased other
Naturvital-Plus,Humic and fluvic acids,Naturvital-Plus,Decreased other
Raiza-Mix,Mix of different types,Raiza-Mix,Decreased other
Scudo,Other,Scudo,Decreased other
Vitact R,Bacteria,Vitact R,Decreased other
Diehard Complete,Mix of different types,Diehard Complete,Decreased phosphorous P use efficiency
MycoApply All Purpose,Mycorrhizal fungi,MycoApply All Purpose,Decreased phosphorous P use efficiency
Vitact R,Bacteria,Vitact R,Decreased phosphorous P use efficiency
Vitact R,Bacteria,Vitact R,Decreased potassium K use efficiency
Acadian,Seaweed extract,Acadian,Decreased produce quality
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Decreased produce quality
Atonik / Chapperone / Asahi SL,Other,Atonik / Chapperone / Asahi SL,Decreased produce quality
Auxym,Plant extract,Auxym,Decreased produce quality
Basfoliar Si,"Anorganic elements Si, Phosphite",Basfoliar Si,Decreased produce quality
Bio Kombi,Mix of different types,Bio Kombi,Decreased produce quality
BioAtlantis,Seaweed extract,BioAtlantis,Decreased produce quality
Biplantol Universal,Plant extract,Biplantol Universal,Decreased produce quality
ComCat,Plant extract,ComCat,Decreased produce quality
Crop Set,Plant extract,Crop Set,Decreased produce quality
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Decreased salt stress tolerance
EZ-Gro Chitosan,Chitosan & biopolymers,EZ-Gro Chitosan,Decreased salt stress tolerance
Fulvic Acid 0-0-3,Humic and fluvic acids,Fulvic Acid 0-0-3,Decreased salt stress tolerance
Humic Acid 0-0-5,Humic and fluvic acids,Humic Acid 0-0-5,Decreased salt stress tolerance
Nutri-Stim Triacontanol,Plant extract,Nutri-Stim Triacontanol,Decreased salt stress tolerance
Organic BamBoo Power BBP No.11,Plant extract,Organic BamBoo Power BBP No.11,Decreased salt stress tolerance
PTB180,Bacteria,PTB180,Decreased salt stress tolerance
PTB185,Bacteria,PTB185,Decreased salt stress tolerance
RootShield,Mycorrhizal fungi,RootShield,Decreased salt stress tolerance
Wollastonite,"Anorganic elements Si, Phosphite",Wollastonite,Decreased salt stress tolerance
TNC BactorrS13,Mix of different types,TNC BactorrS13,Decreased water use efficiency
Atonik / Chapperone / Asahi SL,Other,Atonik / Chapperone / Asahi SL,Increased cold stress tolerance
FH Attivus,Mix of different types,FH Attivus,Increased cold stress tolerance
Goëmar,Seaweed extract,Goëmar,Increased cold stress tolerance
Pepton,Protein hydrolysate,Pepton,Increased cold stress tolerance
Terra Sorb,Other,Terra Sorb,Increased cold stress tolerance
Vitanica Si,"Anorganic elements Si, Phosphite",Vitanica Si,Increased cold stress tolerance
4-Vita,Plant extract,4-Vita,Increased drought stress tolerance
Acadian,Seaweed extract,Acadian,Increased drought stress tolerance
Amalgerol,Mix of different types,Amalgerol,Increased drought stress tolerance
AMF,Mycorrhizal fungi,AMF,Increased drought stress tolerance
Aphasol,Protein hydrolysate,Aphasol,Increased drought stress tolerance
BaktoKompleks,Bacteria,BaktoKompleks,Increased drought stress tolerance
Basfoliar Si,"Anorganic elements Si, Phosphite",Basfoliar Si,Increased drought stress tolerance
BioAtlantis,Seaweed extract,BioAtlantis,Increased drought stress tolerance
Biomega,Bacteria,Biomega,Increased drought stress tolerance
Blue-N,Bacteria,Blue-N,Increased drought stress tolerance
Auxym,Plant extract,Auxym,Increased heat stress tolerance
Biohelp,Other,Biohelp,Increased heat stress tolerance
Booster,Seaweed extract,Booster,Increased heat stress tolerance
CycoFlow,Protein hydrolysate,CycoFlow,Increased heat stress tolerance
Goëmar,Seaweed extract,Goëmar,Increased heat stress tolerance
Isabion,Protein hydrolysate,Isabion,Increased heat stress tolerance
Kaishi,Protein hydrolysate,Kaishi,Increased heat stress tolerance
KIEM,Mix of different types,KIEM,Increased heat stress tolerance
Macro-Sorb,Protein hydrolysate,Macro-Sorb,Increased heat stress tolerance
Megafol,Mix of different types,Megafol,Increased heat stress tolerance
Actiwave,Seaweed extract,Actiwave,Increased micronutrient use efficiency
Algipower,Seaweed extract,Algipower,Increased micronutrient use efficiency
Fulvagra,Mix of different types,Fulvagra,Increased micronutrient use efficiency
Huminbio Microsense Seed,Mix of different types,Huminbio Microsense Seed,Increased micronutrient use efficiency
ILSAC-ON,Plant extract,ILSAC-ON,Increased micronutrient use efficiency
Kelpak,Seaweed extract,Kelpak,Increased micronutrient use efficiency
Maxicrop,Seaweed extract,Maxicrop,Increased micronutrient use efficiency
MycoApply All Purpose,Mycorrhizal fungi,MycoApply All Purpose,Increased micronutrient use efficiency
Pepton,Protein hydrolysate,Pepton,Increased micronutrient use efficiency
Powhumus,Mix of different types,Powhumus,Increased micronutrient use efficiency
Actiwave,Seaweed extract,Actiwave,Increased nitrogen N use efficiency
Auxym,Plant extract,Auxym,Increased nitrogen N use efficiency
BioAtlantis,Seaweed extract,BioAtlantis,Increased nitrogen N use efficiency
Bio-cozyme,Bacteria,Bio-cozyme,Increased nitrogen N use efficiency
Cease,Bacteria,Cease,Increased nitrogen N use efficiency
Diehard Complete,Mix of different types,Diehard Complete,Increased nitrogen N use efficiency
Fulvagra,Mix of different types,Fulvagra,Increased nitrogen N use efficiency
Good for Greens,Mix of different types,Good for Greens,Increased nitrogen N use efficiency
Humifirst,Humic and fluvic acids,Humifirst,Increased nitrogen N use efficiency
Huminbio Microsense Seed,Mix of different types,Huminbio Microsense Seed,Increased nitrogen N use efficiency
Actiwave,Seaweed extract,Actiwave,Increased nutrient availability in soil or substrate
AgBio-Endos,Mycorrhizal fungi,AgBio-Endos,Increased nutrient availability in soil or substrate
Agro-Sorb Folium,Protein hydrolysate,Agro-Sorb Folium,Increased nutrient availability in soil or substrate
AM 120,Mycorrhizal fungi,AM 120,Increased nutrient availability in soil or substrate
Aminoplant,Protein hydrolysate,Aminoplant,Increased nutrient availability in soil or substrate
APR,Protein hydrolysate,APR,Increased nutrient availability in soil or substrate
BEI,Mycorrhizal fungi,BEI,Increased nutrient availability in soil or substrate
Bio Kombi,Mix of different types,Bio Kombi,Increased nutrient availability in soil or substrate
BioGrow Endo,Mycorrhizal fungi,BioGrow Endo,Increased nutrient availability in soil or substrate
DieHard Endo,Mycorrhizal fungi,DieHard Endo,Increased nutrient availability in soil or substrate
Abies,Plant extract,Abies,Increased other
Actiwave,Seaweed extract,Actiwave,Increased other
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Increased other
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Increased other
Afital K,"Anorganic elements Si, Phosphite",Afital K,Increased other
AgBio-Endos,Mycorrhizal fungi,AgBio-Endos,Increased other
AgriAlgae Biologico Original,Other,AgriAlgae Biologico Original,Increased other
Agri-Fos,"Anorganic elements Si, Phosphite",Agri-Fos,Increased other
Agro-Sorb Folium,Protein hydrolysate,Agro-Sorb Folium,Increased other
