biostimulant;type;effect
Amf;Mycorrhizal Fungi;Decreased drought stress tolerance
Bioatlantis;Seaweed Extract;Decreased drought stress tolerance
Biomega;Bacteria;Decreased drought stress tolerance
Kelpak;Seaweed Extract;Decreased drought stress tolerance
Naturvital-Plus;Humic And Fluvic Acids;Decreased drought stress tolerance
Phylgreen;Seaweed Extract;Decreased drought stress tolerance
Trianum-P;Mycorrhizal Fungi;Decreased drought stress tolerance
Basfoliar Si;Anorganic Elements Si, Phosphite;Decreased growth
Fitostim;Seaweed Extract;Decreased growth
Instant Td + Impuls Td;Mix Of Different Types;Decreased growth
Phylgreen;Seaweed Extract;Decreased growth
Previsan S;Other;Decreased growth
Siapton;Protein Hydrolysate;Decreased heat stress tolerance
Calleaf Aminovital;Protein Hydrolysate;Decreased nitrogen n use efficiency
Kelpak;Seaweed Extract;Decreased nitrogen n use efficiency
Maximus Amino Protect;Mix Of Different Types;Decreased nitrogen n use efficiency
Nutricin;Mix Of Different Types;Decreased nitrogen n use efficiency
Tnc Bactorrs13;Mix Of Different Types;Decreased nitrogen n use efficiency
Trianum-P;Mycorrhizal Fungi;Decreased nitrogen n use efficiency
True Algae Max (Tam);Seaweed Extract;Decreased nitrogen n use efficiency
Vitact R;Bacteria;Decreased nitrogen n use efficiency
Golf Algin;Mix Of Different Types;Decreased nutrient availability in soil or substrate
Maxicrop;Seaweed Extract;Decreased nutrient availability in soil or substrate
Progreen;Mix Of Different Types;Decreased nutrient availability in soil or substrate
Am 120;Mycorrhizal Fungi;Decreased other
Baktokompleks;Bacteria;Decreased other
Biomega;Bacteria;Decreased other
Naturvital-Plus;Humic And Fluvic Acids;Decreased other
Raiza-Mix;Mix Of Different Types;Decreased other
Scudo;Other;Decreased other
Vitact R;Bacteria;Decreased other
Diehard Complete;Mix Of Different Types;Decreased phosphorous p use efficiency
Mycoapply All Purpose;Mycorrhizal Fungi;Decreased phosphorous p use efficiency
Vitact R;Bacteria;Decreased phosphorous p use efficiency
Vitact R;Bacteria;Decreased potassium k use efficiency
Acadian;Seaweed Extract;Decreased produce quality
Acker-Schachtelhalm Extract;Plant Extract;Decreased produce quality
Atonik / Chapperone / Asahi Sl;Other;Decreased produce quality
Auxym;Plant Extract;Decreased produce quality
Basfoliar Si;Anorganic Elements Si, Phosphite;Decreased produce quality
Bio Kombi;Mix Of Different Types;Decreased produce quality
Bioatlantis;Seaweed Extract;Decreased produce quality
Biplantol Universal;Plant Extract;Decreased produce quality
Comcat;Plant Extract;Decreased produce quality
Crop Set;Plant Extract;Decreased produce quality
Activ 0-0-5;Seaweed Extract;Decreased salt stress tolerance
Ez-Gro Chitosan;Chitosan & Biopolymers;Decreased salt stress tolerance
Fulvic Acid 0-0-3;Humic And Fluvic Acids;Decreased salt stress tolerance
Humic Acid 0-0-5;Humic And Fluvic Acids;Decreased salt stress tolerance
Nutri-Stim Triacontanol;Plant Extract;Decreased salt stress tolerance
Organic Bamboo Power Bbp No.11;Plant Extract;Decreased salt stress tolerance
Ptb180;Bacteria;Decreased salt stress tolerance
Ptb185;Bacteria;Decreased salt stress tolerance
Rootshield;Mycorrhizal Fungi;Decreased salt stress tolerance
Wollastonite;Anorganic Elements Si, Phosphite;Decreased salt stress tolerance
Tnc Bactorrs13;Mix Of Different Types;Decreased water use efficiency
Atonik / Chapperone / Asahi Sl;Other;Increased cold stress tolerance
